NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
20/05/1970,Masculino,Pilar do Sul,Atletismo Sarapuí,10 KM
23/05/1980,Masculino,Sorocaba,,10 KM
16/10/1977,Masculino,Votorantim,,3 KM CAMINHADA
11/03/1981,Feminino,Angatuba,Sem equipe,5 KM
29/01/1969,Masculino,Sorocaba,,3 KM CAMINHADA
12/10/1984,Feminino,Sorocaba,Sushi run,10 KM
04/08/1982,Masculino,Sorocaba,Sushi Run,10 KM
20/09/1990,Feminino,São Roque,,5 KM
22/01/1976,Masculino,Salto de Pirapora,Não tem,5 KM
14/03/2005,Masculino,Sorocaba,Serafins,10 KM
25/02/2004,Feminino,Sorocaba,,5 KM
24/09/1983,Masculino,Sorocaba,,5 KM
22/11/1989,Feminino,Sorocaba,,5 KM
12/12/1986,Masculino,Mairinque,,10 KM
05/01/1992,Feminino,Sorocaba,,5 KM
22/12/1986,Feminino,Mairinque,,5 KM
04/11/2004,Feminino,São Roque,,5 KM
19/06/1968,Feminino,São Roque,,5 KM
26/07/1965,Masculino,São Roque,,5 KM
03/04/2000,Feminino,São Roque,,5 KM
01/09/1960,Feminino,Sorocaba,,3 KM CAMINHADA
22/12/1994,Masculino,Sorocaba,,5 KM
15/05/1981,Feminino,Sorocaba,Studio Marcelo Prado,5 KM
03/02/1974,Masculino,Piedade,,10 KM
12/07/1983,Feminino,Sorocaba,,5 KM
06/02/2010,Masculino,Sorocaba,,5 KM
05/05/1981,Masculino,Sorocaba,,5 KM
24/02/1994,Masculino,Sorocaba,ALCATÉIA,10 KM
28/06/1982,Feminino,Ibiúna,VCI,10 KM
26/02/1983,Feminino,Araçariguama,,5 KM
13/07/1975,Feminino,Sorocaba,Gayotto's Family,5 KM
12/11/2005,Masculino,Sorocaba,Gayotto's Family,5 KM
24/08/1973,Masculino,Sarapui,Sem equipe,10 KM
03/01/1986,Masculino,Salto de Pirapora,,10 KM
09/02/1983,Feminino,Sorocaba,,5 KM
20/08/1996,Feminino,Ibiúna,Vamu Correr Ibiuna,5 KM
17/01/1999,Masculino,Sorocaba,,5 KM
21/03/1983,Masculino,Sorocaba,,5 KM
30/08/2001,Feminino,Sorocaba,,5 KM
15/01/2003,Feminino,Sorocaba,,5 KM
02/04/1966,Masculino,Sorocaba,,5 KM
10/10/1974,Feminino,Sorocaba,,5 KM
21/02/1995,Masculino,Ibiúna,Gustafsson,5 KM
24/09/2002,Masculino,Sorocaba,,5 KM
25/05/2001,Feminino,Sorocaba,NexxusRun,5 KM
22/10/2007,Feminino,Sorocaba,Gayotto's Family,5 KM
15/08/1973,Feminino,Tatuí,,5 KM
21/03/2011,Feminino,Sorocaba,,5 KM
22/01/1975,Masculino,Sorocaba,,5 KM
28/08/1988,Feminino,Sorocaba,,3 KM CAMINHADA
07/08/1986,Masculino,Sorocaba,,3 KM CAMINHADA
01/11/1990,Feminino,Tatuí,MyboxTatui,5 KM
02/02/2000,Masculino,Votorantim,,5 KM
10/04/2000,Feminino,Sorocaba,,5 KM
14/05/1982,Feminino,Sorocaba,,5 KM
17/07/2000,Masculino,São Roque,,5 KM
20/04/1988,Feminino,Araçariguama,,5 KM
26/07/2001,Feminino,Ibiúna,TEAM BG,5 KM
28/05/1997,Masculino,Sorocaba,Churrascaria dos Gaúchos,5 KM
19/05/1976,Masculino,Votorantim,,5 KM
21/04/1983,Feminino,Sorocaba,,5 KM
29/01/1984,Feminino,Votorantim,,5 KM
20/12/1991,Feminino,Itu,,5 KM
27/11/1978,Masculino,Itu,,5 KM
18/02/1992,Feminino,Itu,,5 KM
29/01/1999,Masculino,Itu,,5 KM
29/05/1985,Feminino,TAPIRAI,,5 KM
18/02/1998,Feminino,Sorocaba,,3 KM CAMINHADA
13/03/2005,Feminino,SÃo Roque,Djalma Nogueira,10 KM
30/04/1975,Feminino,Itapetininga,XV de novembro itapetininga,5 KM
13/06/2001,Feminino,Itapetininga,Serafim Runners,5 KM
06/04/1981,Masculino,Sorocaba,Zenid,5 KM
08/04/1994,Masculino,Votorantim,,5 KM
20/03/1996,Feminino,Sorocaba,MOOD RUN,5 KM
13/10/1956,Masculino,Itu,,5 KM
08/04/1987,Masculino,Itu,,5 KM
30/01/1993,Masculino,Piedade,Energia,5 KM
29/11/1997,Feminino,Sorocaba,,5 KM
26/04/1990,Feminino,Sorocaba,,5 KM
24/10/1994,Feminino,Tapiraí,,5 KM
12/09/1978,Feminino,Sorocaba,,10 KM
22/11/1971,Feminino,Sorocaba,,5 KM
21/11/1987,Feminino,Sorocaba,,5 KM
29/03/2007,Feminino,18040000,,5 KM
18/02/1991,Masculino,Sorocaba,Gustavo,10 KM
30/09/1979,Feminino,Sorocaba,,3 KM CAMINHADA
01/01/1985,Feminino,Sorocaba,Amigos corredores Sorocaba,5 KM
21/05/1986,Feminino,Sorocaba,,10 KM
18/03/1978,Feminino,Sorocaba,Corra Sports,10 KM
17/11/2006,Masculino,Sorocaba,,5 KM
25/08/1957,Feminino,Boituva,,5 KM
10/02/1985,Masculino,Alumínio,,5 KM
05/04/1988,Feminino,Sorocaba,,5 KM
20/08/1994,Masculino,Sorocaba,,10 KM
27/08/1991,Masculino,Sorocaba,,5 KM
25/02/2002,Feminino,Sorocaba,,5 KM
10/09/1974,Feminino,Sorocaba,,5 KM
30/05/1992,Feminino,Sorocaba,,3 KM CAMINHADA
23/11/1988,Feminino,São Paulo,,5 KM
20/02/1996,Masculino,Sorocaba,,5 KM
14/09/2000,Feminino,Mairinque,,5 KM
09/01/2002,Feminino,Sorocaba,,5 KM
15/08/1979,Feminino,Sorocaba,,5 KM
28/08/1966,Masculino,Boituva,,5 KM
04/06/1977,Feminino,Capela Do Alto,,5 KM
28/03/1997,Masculino,Sorocaba,,5 KM
28/08/1996,Feminino,Votorantim,,5 KM
30/09/1981,Feminino,Porto Feliz,Garotas(os) sem freio,5 KM
18/09/2004,Masculino,Sorocaba,,10 KM
13/01/2003,Masculino,Mairinque,,5 KM
17/02/1992,Feminino,Porto Feliz,GAROTAS SEM FREIO,10 KM
01/03/1994,Masculino,Porto Feliz,GAROTAS(OS) SEM FREIO,5 KM
15/11/1985,Feminino,Sorocaba,,5 KM
18/09/1980,Feminino,Sorocaba,Equipe Atitude,5 KM
06/02/1988,Feminino,Sorocaba,,5 KM
22/01/1986,Feminino,Sorocaba,,5 KM
01/05/2004,Feminino,Itapetininga,,5 KM
23/03/1994,Masculino,Sorocaba,,5 KM
20/02/1960,Feminino,Sorocaba,,3 KM CAMINHADA
01/08/1989,Feminino,Sorocaba,,5 KM
07/02/1967,Feminino,Itapetininga,Power Run,5 KM
26/11/1997,Feminino,Itapetininga,Power Run,5 KM
28/04/2000,Masculino,Sorocaba,,10 KM
20/07/1990,Feminino,Sorocaba,,5 KM
11/09/2001,Masculino,Votorantim,,5 KM
07/01/1981,Feminino,Salto de Pirapora,,5 KM
02/08/1989,Feminino,Sorocaba,,5 KM
14/05/1991,Feminino,Sorocaba,,5 KM
21/02/1980,Feminino,Itu,LILI-SPS,5 KM
22/09/2004,Feminino,Araçariguama,,5 KM
12/08/2002,Masculino,Araçariguama,,10 KM
14/07/1992,Feminino,Sorocaba,,5 KM
12/04/2001,Masculino,Votorantim,,10 KM
07/04/1994,Masculino,Porto Feliz,Comentários,5 KM
09/08/1991,Feminino,Araçariguama,,5 KM
18/04/2009,Feminino,Votorantim,,5 KM
23/05/1987,Feminino,Votorantim,,5 KM
12/03/2005,Feminino,Votorantim,,5 KM
19/03/1986,Feminino,Araçoiaba da Serra,,5 KM
24/06/1996,Feminino,Sorocaba,,5 KM
22/03/2000,Masculino,Piedade,Farma Ponte,5 KM
08/12/1981,Masculino,Sorocaba,,5 KM
02/06/2009,Masculino,Sorocaba,MS Team,5 KM
25/01/1981,Feminino,Itu,,5 KM
25/12/1990,Feminino,Sorocaba,,5 KM
29/07/1980,Masculino,Sorocaba,Let's Run,10 KM
19/09/1992,Feminino,Mairinque,Rosa,5 KM
26/04/1979,Masculino,Sorocaba,CBs - Sorocaba,5 KM
29/08/2007,Feminino,Porto Feliz,Garotas(os) Sem Freio,5 KM
20/08/1989,Feminino,Sorocaba,,5 KM
24/03/1980,Masculino,Itu,,5 KM
21/04/1979,Masculino,Sorocaba,,5 KM
21/04/1996,Feminino,SALTO DE PIRAPORA,,10 KM
19/12/1994,Feminino,Sorocaba,,10 KM
11/04/1976,Masculino,Sorocaba,Sem equipe,5 KM
03/09/2003,Feminino,Salto,,5 KM
25/07/1990,Masculino,Sorocaba,,3 KM CAMINHADA
05/01/1985,Feminino,Sorocaba,CBS - Sorocaba,5 KM
09/10/1986,Masculino,Sorocaba,Mood,5 KM
21/01/1995,Feminino,Sorocaba,,5 KM
06/05/1976,Masculino,Sorocaba,Mundo acqua,5 KM
15/03/2004,Masculino,São Paulo,Lent,5 KM
27/03/1969,Masculino,São Paulo,Lent,5 KM
21/06/1990,Feminino,Sorocaba,Dru,5 KM
03/04/1990,Masculino,Sorocaba,CBS-WANEL VILLE,5 KM
27/09/1983,Masculino,Sorocaba,,5 KM
23/12/1980,Feminino,Sorocaba,,5 KM
08/10/1995,Feminino,IbiÚna,,10 KM
02/05/1982,Feminino,Cotia,Os Primos,10 KM
26/09/1973,Feminino,Cotia,Os Primos,5 KM
18/03/1982,Masculino,Cotia,Os Primos,10 KM
26/01/1977,Masculino,Sorocaba,,5 KM
23/03/2004,Masculino,Sorocaba,,5 KM
31/01/1979,Masculino,Ibiúna,Os primos,10 KM
15/08/1997,Masculino,Sorocaba,Avulso,5 KM
23/11/1983,Feminino,Ibiúna,Os primos,5 KM
16/04/1981,Masculino,Cotia,Os Primos,10 KM
25/03/1981,Masculino,Sorocaba,HACE SO VAI,5 KM
24/04/1988,Feminino,Piedade,,5 KM
16/05/1992,Masculino,Vargem Grande Paulista,Os primos,10 KM
11/09/2005,Masculino,Vargem Grande Paulista,Os primos,10 KM
30/10/2002,Masculino,Vargem Grande Paulista,Os primos,5 KM
01/07/1988,Feminino,Sorocaba,,5 KM
31/03/1969,Feminino,Sorocaba,FAMÍLIA QUE TRIENA,5 KM
24/05/1979,Feminino,Ibiúna,,5 KM
15/04/1969,Feminino,Ibiúna,,5 KM
22/05/1965,Masculino,Sorocaba,,5 KM
25/06/1970,Feminino,Salto de Pirapora,Essência,3 KM CAMINHADA
25/01/2025,Feminino,Salto De Pirapora,,5 KM
11/11/2005,Masculino,Vargem Grande Paulista,Os primos,10 KM
27/05/1996,Feminino,Cotia,Academia W.O,5 KM
12/05/1995,Masculino,Sorocaba,Sem equipe,10 KM
18/02/1972,Feminino,Salto,,3 KM CAMINHADA
02/12/1990,Feminino,Sorocaba,,5 KM
25/07/1994,Masculino,sorocaba,,10 KM
21/11/2007,Feminino,Votorantim,,5 KM
04/10/1986,Feminino,Sorocaba,Céu das artes,5 KM
01/01/1999,Feminino,Itu,,10 KM
09/05/1997,Feminino,Sorocaba,UDG,3 KM CAMINHADA
24/04/1996,Masculino,Sorocaba,UDG,10 KM
10/07/1996,Masculino,Votorantim,,5 KM
09/10/1989,Masculino,Sorocaba,,10 KM
12/02/1994,Feminino,Sorocaba,Não tenho,3 KM CAMINHADA
01/10/1981,Masculino,Sorocaba,Lab Reproduce,5 KM
21/08/1991,Masculino,Sorocaba,,5 KM
20/10/1996,Masculino,Sorocaba,Ótica Morumbi - Sorocaba,10 KM
12/06/2011,Masculino,Sorocaba,,5 KM
26/03/1995,Masculino,Ibiúna,,10 KM
31/08/2006,Feminino,Votorantim,ACM/FEFISO,5 KM
12/03/1994,Masculino,Sorocaba,Mood Run,10 KM
04/12/1982,Feminino,Votorantim,Camargo Runing,3 KM CAMINHADA
31/08/1987,Feminino,Sorocaba,,5 KM
02/05/2000,Masculino,Votorantim,LOJAS CEM,5 KM
16/09/1986,Feminino,Sorocaba,,5 KM
18/02/2001,Feminino,Votorantim,,5 KM
13/10/1995,Feminino,Votorantim,LOJAS CEM,5 KM
27/02/1967,Feminino,Sorocaba,Sem equipe,5 KM
06/08/2007,Masculino,Sorocaba,Gayotto's Family,5 KM
06/03/1995,Feminino,Sorocaba,Peixe Pro,5 KM
27/03/1980,Masculino,Sorocaba,PEIXE PRO,5 KM
06/03/2003,Feminino,Sorocaba,,5 KM
26/01/1980,Feminino,Sorocaba,,3 KM CAMINHADA
14/03/1992,Feminino,Sorocaba,,10 KM
23/02/1999,Masculino,Sorocaba,,5 KM
06/07/1990,Masculino,Sorocaba,,5 KM
28/11/1988,Feminino,Sorocaba,,5 KM
24/08/1998,Masculino,Itu,,10 KM
16/11/2005,Masculino,Sorocaba,,5 KM
02/10/2000,Masculino,Sorocaba,,5 KM
13/01/1986,Feminino,Sorocaba,Divas,5 KM
18/05/1980,Masculino,Araçoiaba da Serra,,5 KM
04/07/1984,Feminino,Araçoiaba da Serra,,3 KM CAMINHADA
17/09/1964,Masculino,Sorocaba,,5 KM
14/10/1995,Feminino,Sorocaba,,10 KM
03/05/1985,Feminino,São Roque,,5 KM
02/02/1997,Masculino,Mairinque,Family running,10 KM
02/11/1978,Masculino,Sorocaba,,10 KM
06/05/1971,Feminino,Sorocaba,,5 KM
25/11/1986,Feminino,Ibiúna,MX RUN,5 KM
08/03/1999,Feminino,Itu,,5 KM
26/03/1986,Masculino,Itapetininga,Serafim runners,5 KM
02/06/1968,Feminino,Sorocaba,,10 KM
10/06/1991,Feminino,Sorocaba,,5 KM
23/04/1980,Masculino,Sorocaba,Rubvibes,5 KM
04/05/1994,Masculino,Votorantim,,10 KM
03/05/1991,Masculino,Sorocaba,the RUN,5 KM
30/10/1981,Feminino,Jandira,,5 KM
30/01/2004,Feminino,Sorocaba,,5 KM
04/04/1996,Feminino,Araçoiaba da Serra,,5 KM
22/02/1994,Masculino,Sorocaba,,10 KM
01/08/1993,Feminino,Piedade,,5 KM
16/11/1995,Feminino,Itu,,10 KM
11/08/1980,Masculino,Ibiúna,Os Primos,5 KM
06/09/1979,Feminino,Barueri,,5 KM
29/09/1997,Masculino,Itu,,5 KM
19/08/1983,Feminino,Piedade,,5 KM
30/06/1993,Feminino,Capivari,,10 KM
03/12/1994,Masculino,Sorocaba,,5 KM
07/04/1983,Masculino,Alumínio,,3 KM CAMINHADA
07/05/2009,Masculino,Sorocaba,,5 KM
31/12/1980,Feminino,AlumÍnio,,3 KM CAMINHADA
05/06/1984,Masculino,Sorocaba,,5 KM
29/09/1957,Masculino,Sorocaba,,5 KM
26/06/1990,Masculino,Porto Feliz,Garotas(os) sem freio,10 KM
10/12/1993,Masculino,Sorocaba,,5 KM
17/12/1996,Feminino,Sorocaba,,5 KM
18/03/1992,Feminino,Sorocaba,UDG,5 KM
02/05/2004,Masculino,Sorocaba,RUNNERS SUZANO,10 KM
15/01/1972,Feminino,Porto Feliz,Sem equipe,5 KM
23/09/1991,Masculino,Votorantim,UDG,10 KM
29/11/1990,Masculino,Jundiaí,Avulso,10 KM
23/03/1988,Feminino,Sorocaba,,5 KM
21/12/1983,Feminino,Sorocaba,,5 KM
25/10/1980,Masculino,Sorocaba,,5 KM
12/06/2010,Feminino,Sorocaba,,5 KM
30/10/1989,Masculino,Sorocaba,,5 KM
22/10/1976,Feminino,Mairinque,,5 KM
20/05/2009,Masculino,Votorantim,nao tenho,5 KM
23/01/1980,Masculino,Itapetininga,Atletismo Sarapui,5 KM
11/09/2011,Masculino,Sorocaba,CORINTHIANS,5 KM
20/02/2003,Feminino,Sorocaba,,5 KM
30/05/1984,Feminino,Vargem Grande Paulista,Os primos,5 KM
29/09/1993,Feminino,Sorocaba,,3 KM CAMINHADA
13/06/1997,Masculino,Sorocaba,,5 KM
02/04/1992,Masculino,Sorocaba,,5 KM
30/06/1975,Feminino,Sorocaba,Fastcorredores,5 KM
12/02/2006,Feminino,Sorocaba,,10 KM
28/09/1974,Masculino,Sorocaba,,5 KM
30/09/1998,Feminino,Sorocaba,UDG,5 KM
09/08/1998,Feminino,Sorocaba,,3 KM CAMINHADA
06/12/1998,Feminino,Sorocaba,UDG,3 KM CAMINHADA
22/02/2002,Feminino,Sorocaba,UDG,5 KM
22/04/1991,Masculino,Sorocaba,,5 KM
18/01/1995,Masculino,Sorocaba,,5 KM
29/03/1999,Masculino,Sorocaba,UDG,10 KM
05/08/1994,Masculino,Ibiúna,,10 KM
20/08/1989,Masculino,Sorocaba,Individual,5 KM
09/07/1995,Feminino,Salto de Pirapora,,5 KM
30/04/1990,Feminino,Salto de Pirapora,,3 KM CAMINHADA
03/11/1983,Feminino,Sorocaba,,3 KM CAMINHADA
01/11/1979,Feminino,Sorocaba,,5 KM
14/04/1988,Feminino,Sorocaba,,5 KM
22/06/1995,Feminino,Sorocaba,,10 KM
02/01/2001,Masculino,Sorocaba,,10 KM
15/04/2000,Feminino,Itapeva,,5 KM
10/04/1991,Masculino,Sorocaba,Saluma sports,10 KM
03/03/1985,Feminino,Sorocaba,Saluma sports,5 KM
13/01/1988,Masculino,Sorocaba,,5 KM
29/03/1984,Masculino,Sorocaba,,5 KM
07/12/1990,Feminino,Votorantim,Peixe Pro,5 KM
09/01/2003,Feminino,Sorocaba,,5 KM
05/02/1979,Feminino,Votorantim,Peixe Pro,10 KM
08/12/1996,Feminino,Sorocaba,,5 KM
21/09/1981,Masculino,Sorocaba,,5 KM
11/06/1979,Feminino,Sorocaba,100 Limites Assessoria Esportiva,10 KM
07/09/1998,Masculino,Sorocaba,UDG,5 KM
01/03/1984,Feminino,Porto Feliz,Garotas (O)sem freio,5 KM
25/05/1996,Feminino,Piedade,,5 KM
24/02/1989,Feminino,Sorocaba,Avulso,5 KM
25/01/2006,Masculino,Sorocaba,,5 KM
04/05/1991,Feminino,Sorocaba,,5 KM
27/08/1992,Masculino,Votorantim,,5 KM
30/05/1999,FEMININO,Sorocaba,GARAGEM WD,Informe sua distância: Corrida 5Km
22/06/1976,FEMININO,SOROCABA,GARAGEM WD,Informe sua distância: Corrida 5Km
29/03/1973,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
18/10/1989,MASCULINO,SAO MIGUEL ARCANJO,Serafim runners,Informe sua distância: Corrida 5Km
07/06/1997,FEMININO,SAO MIGUEL ARCANJO,Serafim runners,Informe sua distância: Corrida 5Km
21/04/1987,MASCULINO,SOROCABA,Serafim Runners,Informe sua distância: Corrida 5Km
05/11/1991,FEMININO,SOROCABA,Eden Race,Informe sua distância: Corrida 10Km
21/12/1958,MASCULINO,SAO PAULO,,Informe sua distância: Corrida 10Km
09/09/1993,FEMININO,ITAPETININGA,SERAFIM RUNNERS,Informe sua distância: Corrida 10Km
18/05/1982,FEMININO,Sorocaba,,Informe sua distância: Corrida 5Km
26/04/1980,FEMININO,GUARULHOS,,Informe sua distância: Caminhada 3Km
04/08/1952,FEMININO,GUARULHOS,,Informe sua distância: Caminhada 3Km
07/07/1977,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
31/10/2002,MASCULINO,Sorocaba,,Informe sua distância: Corrida 5Km
26/11/2002,FEMININO,SAO ROQUE,,Informe sua distância: Corrida 5Km
30/09/1953,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
28/08/1976,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
09/06/1958,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
03/01/1957,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
28/05/1993,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
06/06/1970,FEMININO,Sorocaba,FT assessoria,Informe sua distância: Corrida 5Km
19/04/1967,FEMININO,SOROCABA,Divas que correm,Informe sua distância: Corrida 5Km
25/05/1978,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
24/04/1984,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
13/04/1981,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
10/06/2001,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 5Km
30/08/1999,MASCULINO,VOTORANTIM,,Informe sua distância: Corrida 5Km
15/04/1991,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
17/04/1985,FEMININO,SOROCABA,Mood ,Informe sua distância: Corrida 10Km
02/03/1981,MASCULINO,SOROCABA,Move Team,Informe sua distância: Corrida 10Km
01/12/2005,MASCULINO,VOTORANTIM,Matheus,Informe sua distância: Corrida 5Km
11/11/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
23/07/1991,FEMININO,VOTORANTIM,,Informe sua distância: Corrida 10Km
02/09/1991,FEMININO,ITAPETININGA,Team K.França,Informe sua distância: Corrida 10Km
13/12/1997,FEMININO,ALAMBARI,Serafim runners,Informe sua distância: Corrida 10Km
22/10/1997,FEMININO,ITAPETININGA,TEAMKF,Informe sua distância: Corrida 5Km
28/09/2005,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
18/05/1989,FEMININO,ITAPETININGA,Rio Branco Renner ,Informe sua distância: Corrida 5Km
02/02/2005,MASCULINO,ITAPETININGA,Power Run,Informe sua distância: Corrida 10Km
11/01/1978,FEMININO,ITAPETININGA,Power,Informe sua distância: Corrida 5Km
07/03/2006,FEMININO,SOROCABA,Matheus,Informe sua distância: Corrida 5Km
24/02/1964,MASCULINO,ITAPETININGA,,Informe sua distância: Corrida 10Km
06/06/1961,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
29/06/1979,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
24/12/1961,FEMININO,ITAPETININGA,Power run,Informe sua distância: Corrida 5Km
30/06/1976,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
18/03/1987,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
24/02/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
17/11/1993,FEMININO,ITAPETININGA,Teamkfranca ,Informe sua distância: Corrida 10Km
01/03/1988,MASCULINO,ITAPETININGA,Teamkfranca,Informe sua distância: Corrida 10Km
11/08/1996,FEMININO,ITAPETININGA,Power Run,Informe sua distância: Corrida 5Km
02/05/1987,MASCULINO,SOROCABA,B.a Run,Informe sua distância: Corrida 5Km
05/12/1974,FEMININO,IPERO,cornetas running,Informe sua distância: Corrida 10Km
06/04/1988,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
12/02/1999,FEMININO,PILAR DO SUL,Yasuda Team,Informe sua distância: Corrida 5Km
04/11/1987,MASCULINO,PILAR DO SUL,Yasuda Team,Informe sua distância: Corrida 5Km
28/08/1990,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
29/09/1955,MASCULINO,SOROCABA,FAST CORREDORES,Informe sua distância: Corrida 5Km
17/06/1957,FEMININO,SOROCABA,Não tenho,Informe sua distância: Caminhada 3Km
28/08/1992,FEMININO,ITAPETININGA,Team KFrança ,Informe sua distância: Corrida 10Km
10/06/2003,MASCULINO,ITAPETININGA,,Informe sua distância: Corrida 10Km
01/01/1999,FEMININO,SOROCABA,Divas que correm,Informe sua distância: Corrida 10Km
03/12/1990,MASCULINO,ITAPETININGA,Power Run ,Informe sua distância: Corrida 5Km
26/07/1966,MASCULINO,SOROCABA,Avulso,Informe sua distância: Corrida 10Km
29/08/1962,MASCULINO,SOROCABA,Avulso,Informe sua distância: Corrida 5Km
27/11/1966,FEMININO,PIEDADE,Gils Premium ,Informe sua distância: Corrida 10Km
25/02/1964,MASCULINO,piedade,,Informe sua distância: Corrida 10Km
10/04/1993,FEMININO,APIAI,Academia Alternativa ,Informe sua distância: Corrida 10Km
27/09/2001,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
25/11/1971,FEMININO,SOROCABA,Matheus,Informe sua distância: Corrida 5Km
04/03/1990,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
22/09/1994,FEMININO,Sorocaba,,Informe sua distância: Corrida 10Km
07/07/1977,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
08/05/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
22/05/1986,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
05/02/1995,FEMININO,ITAPETININGA,Xv de Novembro de Itapetininga,Informe sua distância: Corrida 5Km
03/11/1963,FEMININO,ITAPETININGA,Xv de Novembro de Itapetininga,Informe sua distância: Corrida 5Km
12/04/1980,FEMININO,SAO MIGUEL ARCANJO,Fly runners ,Informe sua distância: Corrida 10Km
05/09/1983,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
28/08/1984,FEMININO,ITAPETININGA,,Informe sua distância: Corrida 5Km
21/06/1976,MASCULINO,ITAPETININGA,Serafim runners,Informe sua distância: Corrida 5Km
21/06/1977,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
03/07/1999,FEMININO,SOROCABA,,Informe sua distância: Corrida 10Km
11/06/1997,FEMININO,SOROCABA,Avulso,Informe sua distância: Corrida 5Km
24/04/1985,FEMININO,Sorocaba,,Informe sua distância: Corrida 5Km
02/07/1978,MASCULINO,ITAPETININGA,Serafim Runners,Informe sua distância: Corrida 5Km
22/07/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
08/05/1991,MASCULINO,Votorantim,,Informe sua distância: Corrida 5Km
12/11/2007,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
29/03/1996,FEMININO,SOROCABA,,Informe sua distância: Caminhada 3Km
01/08/1949,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
14/04/1989,MASCULINO,SOROCABA,One More,Informe sua distância: Corrida 10Km
05/02/1987,MASCULINO,SOROCABA,Inimigos do pace,Informe sua distância: Corrida 10Km
24/06/1998,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
13/06/1993,MASCULINO,Sorocaba,Avulso ,Informe sua distância: Corrida 10Km
15/07/1988,MASCULINO,SOROCABA,Travequeiros,Informe sua distância: Corrida 10Km
14/10/2000,FEMININO,SOROCABA,. ,Informe sua distância: Corrida 5Km
26/06/1984,FEMININO,ITU,,Informe sua distância: Corrida 5Km
08/06/1985,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
23/07/1992,FEMININO,São Paulo,,Informe sua distância: Corrida 5Km
08/07/1994,MASCULINO,SAO PAULO,,Informe sua distância: Corrida 5Km
22/09/1986,MASCULINO,SAO PAULO,Mafo Representações Comerciais Ltda,Informe sua distância: Corrida 5Km
30/06/1959,MASCULINO,Sorocaba,Mafo Representações Comerciais Ltda,Informe sua distância: Corrida 5Km
08/01/1992,MASCULINO,SALTO,Relâmpago McQueen ,Informe sua distância: Corrida 5Km
29/03/1995,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
19/07/1988,FEMININO,Salto,Lisboa,Informe sua distância: Corrida 5Km
05/02/1982,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
08/03/1983,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
15/01/1993,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
22/03/1994,FEMININO,Sorocaba,,Informe sua distância: Corrida 5Km
22/10/1963,MASCULINO,SOROCABA,anakseluca,Informe sua distância: Corrida 10Km
11/07/1969,FEMININO,SAO ROQUE,Spiras,Informe sua distância: Corrida 5Km
12/06/1966,MASCULINO,SAO ROQUE,Spiras,Informe sua distância: Corrida 5Km
30/03/1962,MASCULINO,PIEDADE,Atletismo piedade ,Informe sua distância: Corrida 10Km
27/02/1986,FEMININO,SOROCABA,,Informe sua distância: Corrida 5Km
27/01/1982,MASCULINO,SOROCABA,,Informe sua distância: Corrida 10Km
05/07/2010,MASCULINO,SOROCABA,,Informe sua distância: Corrida 5Km
21/10/1986,FEMININO,SOROCABA,ACM Jd São Paulo,Informe sua distância: Corrida 10Km
06/11/1971,FEMININO,SOROCABA,Equipe Atitude ,Informe sua distância: Corrida 5Km
